padron_electoral,frecuencia,frecuencia_%
1249,0.0017921146953405018,0.18
942,0.0017921146953405018,0.18
939,0.0017921146953405018,0.18
949,0.0017921146953405018,0.18
1128,0.0017921146953405018,0.18
1291,0.0017921146953405018,0.18
1360,0.0017921146953405018,0.18
1152,0.0015360983102918587,0.15
2110,0.0015360983102918587,0.15
1155,0.0015360983102918587,0.15
1000,0.0015360983102918587,0.15
768,0.0015360983102918587,0.15
961,0.0015360983102918587,0.15
1645,0.0015360983102918587,0.15
943,0.0015360983102918587,0.15
1074,0.0015360983102918587,0.15
1276,0.0015360983102918587,0.15
886,0.0015360983102918587,0.15
908,0.0015360983102918587,0.15
1085,0.0015360983102918587,0.15
985,0.0015360983102918587,0.15
1596,0.0012800819252432156,0.13
1095,0.0012800819252432156,0.13
1040,0.0012800819252432156,0.13
1097,0.0012800819252432156,0.13
1369,0.0012800819252432156,0.13
1167,0.0012800819252432156,0.13
1437,0.0012800819252432156,0.13
1227,0.0012800819252432156,0.13
470,0.0012800819252432156,0.13
1150,0.0012800819252432156,0.13
1009,0.0012800819252432156,0.13
1977,0.0012800819252432156,0.13
1144,0.0012800819252432156,0.13
995,0.0012800819252432156,0.13
1228,0.0012800819252432156,0.13
1349,0.0012800819252432156,0.13
1559,0.0012800819252432156,0.13
706,0.0012800819252432156,0.13
1274,0.0012800819252432156,0.13
1002,0.0012800819252432156,0.13
240,0.0012800819252432156,0.13
1199,0.0012800819252432156,0.13
774,0.0012800819252432156,0.13
691,0.0012800819252432156,0.13
724,0.0012800819252432156,0.13
1302,0.0012800819252432156,0.13
814,0.0012800819252432156,0.13
1582,0.0012800819252432156,0.13
1017,0.0012800819252432156,0.13
1221,0.0012800819252432156,0.13
1472,0.0012800819252432156,0.13
1076,0.0012800819252432156,0.13
850,0.0012800819252432156,0.13
1059,0.0012800819252432156,0.13
1207,0.0012800819252432156,0.13
1312,0.0012800819252432156,0.13
957,0.0012800819252432156,0.13
1171,0.0012800819252432156,0.13
913,0.0012800819252432156,0.13
1332,0.0012800819252432156,0.13
1050,0.0012800819252432156,0.13
829,0.0012800819252432156,0.13
1386,0.0012800819252432156,0.13
1147,0.0010240655401945725,0.1
834,0.0010240655401945725,0.1
3012,0.0010240655401945725,0.1
697,0.0010240655401945725,0.1
1479,0.0010240655401945725,0.1
1367,0.0010240655401945725,0.1
863,0.0010240655401945725,0.1
1113,0.0010240655401945725,0.1
1175,0.0010240655401945725,0.1
1131,0.0010240655401945725,0.1
2055,0.0010240655401945725,0.1
1020,0.0010240655401945725,0.1
1056,0.0010240655401945725,0.1
787,0.0010240655401945725,0.1
1215,0.0010240655401945725,0.1
2099,0.0010240655401945725,0.1
1107,0.0010240655401945725,0.1
1774,0.0010240655401945725,0.1
875,0.0010240655401945725,0.1
1540,0.0010240655401945725,0.1
1231,0.0010240655401945725,0.1
1012,0.0010240655401945725,0.1
1232,0.0010240655401945725,0.1
1067,0.0010240655401945725,0.1
1325,0.0010240655401945725,0.1
963,0.0010240655401945725,0.1
658,0.0010240655401945725,0.1
2039,0.0010240655401945725,0.1
1061,0.0010240655401945725,0.1
2015,0.0010240655401945725,0.1
1162,0.0010240655401945725,0.1
1433,0.0010240655401945725,0.1
1603,0.0010240655401945725,0.1
637,0.0010240655401945725,0.1
748,0.0010240655401945725,0.1
872,0.0010240655401945725,0.1
700,0.0010240655401945725,0.1
694,0.0010240655401945725,0.1
907,0.0010240655401945725,0.1
991,0.0010240655401945725,0.1
1456,0.0010240655401945725,0.1
1317,0.0010240655401945725,0.1
989,0.0010240655401945725,0.1
1233,0.0010240655401945725,0.1
1941,0.0010240655401945725,0.1
1348,0.0010240655401945725,0.1
1125,0.0010240655401945725,0.1
2596,0.0010240655401945725,0.1
948,0.0010240655401945725,0.1
802,0.0010240655401945725,0.1
1206,0.0010240655401945725,0.1
1943,0.0010240655401945725,0.1
1034,0.0010240655401945725,0.1
1235,0.0010240655401945725,0.1
2538,0.0010240655401945725,0.1
1096,0.0010240655401945725,0.1
727,0.0010240655401945725,0.1
780,0.0010240655401945725,0.1
1245,0.0010240655401945725,0.1
1336,0.0010240655401945725,0.1
858,0.0010240655401945725,0.1
873,0.0010240655401945725,0.1
2107,0.0010240655401945725,0.1
1485,0.0010240655401945725,0.1
848,0.0010240655401945725,0.1
1509,0.0010240655401945725,0.1
1013,0.0010240655401945725,0.1
1789,0.0010240655401945725,0.1
1123,0.0010240655401945725,0.1
1033,0.0010240655401945725,0.1
1423,0.0010240655401945725,0.1
1070,0.0010240655401945725,0.1
1089,0.0010240655401945725,0.1
1108,0.0010240655401945725,0.1
542,0.0010240655401945725,0.1
1331,0.0010240655401945725,0.1
1134,0.0010240655401945725,0.1
851,0.0010240655401945725,0.1
1260,0.0010240655401945725,0.1
1624,0.0010240655401945725,0.1
1397,0.0010240655401945725,0.1
800,0.0010240655401945725,0.1
1222,0.0010240655401945725,0.1
1555,0.0010240655401945725,0.1
1685,0.0010240655401945725,0.1
1619,0.0010240655401945725,0.1
909,0.0010240655401945725,0.1
1376,0.0010240655401945725,0.1
1545,0.0010240655401945725,0.1
1390,0.0010240655401945725,0.1
1488,0.0010240655401945725,0.1
1282,0.0010240655401945725,0.1
2053,0.0010240655401945725,0.1
1542,0.0010240655401945725,0.1
881,0.0010240655401945725,0.1
1132,0.0010240655401945725,0.1
1537,0.0010240655401945725,0.1
1357,0.0010240655401945725,0.1
607,0.0010240655401945725,0.1
593,0.0007680491551459293,0.08
912,0.0007680491551459293,0.08
1884,0.0007680491551459293,0.08
876,0.0007680491551459293,0.08
583,0.0007680491551459293,0.08
1189,0.0007680491551459293,0.08
1350,0.0007680491551459293,0.08
1832,0.0007680491551459293,0.08
2205,0.0007680491551459293,0.08
1248,0.0007680491551459293,0.08
383,0.0007680491551459293,0.08
703,0.0007680491551459293,0.08
1010,0.0007680491551459293,0.08
1054,0.0007680491551459293,0.08
839,0.0007680491551459293,0.08
833,0.0007680491551459293,0.08
1823,0.0007680491551459293,0.08
956,0.0007680491551459293,0.08
1914,0.0007680491551459293,0.08
1290,0.0007680491551459293,0.08
713,0.0007680491551459293,0.08
1273,0.0007680491551459293,0.08
1246,0.0007680491551459293,0.08
1261,0.0007680491551459293,0.08
1141,0.0007680491551459293,0.08
1794,0.0007680491551459293,0.08
1415,0.0007680491551459293,0.08
1289,0.0007680491551459293,0.08
1518,0.0007680491551459293,0.08
1090,0.0007680491551459293,0.08
797,0.0007680491551459293,0.08
919,0.0007680491551459293,0.08
1609,0.0007680491551459293,0.08
2539,0.0007680491551459293,0.08
1926,0.0007680491551459293,0.08
2687,0.0007680491551459293,0.08
823,0.0007680491551459293,0.08
1148,0.0007680491551459293,0.08
1745,0.0007680491551459293,0.08
1893,0.0007680491551459293,0.08
3146,0.0007680491551459293,0.08
1534,0.0007680491551459293,0.08
2153,0.0007680491551459293,0.08
1399,0.0007680491551459293,0.08
1157,0.0007680491551459293,0.08
1196,0.0007680491551459293,0.08
1940,0.0007680491551459293,0.08
791,0.0007680491551459293,0.08
1109,0.0007680491551459293,0.08
1458,0.0007680491551459293,0.08
555,0.0007680491551459293,0.08
1377,0.0007680491551459293,0.08
1459,0.0007680491551459293,0.08
1471,0.0007680491551459293,0.08
1482,0.0007680491551459293,0.08
1275,0.0007680491551459293,0.08
1159,0.0007680491551459293,0.08
775,0.0007680491551459293,0.08
1285,0.0007680491551459293,0.08
766,0.0007680491551459293,0.08
788,0.0007680491551459293,0.08
837,0.0007680491551459293,0.08
1182,0.0007680491551459293,0.08
1353,0.0007680491551459293,0.08
725,0.0007680491551459293,0.08
1153,0.0007680491551459293,0.08
1959,0.0007680491551459293,0.08
1354,0.0007680491551459293,0.08
996,0.0007680491551459293,0.08
1265,0.0007680491551459293,0.08
1345,0.0007680491551459293,0.08
2726,0.0007680491551459293,0.08
865,0.0007680491551459293,0.08
1710,0.0007680491551459293,0.08
929,0.0007680491551459293,0.08
1909,0.0007680491551459293,0.08
999,0.0007680491551459293,0.08
1042,0.0007680491551459293,0.08
2238,0.0007680491551459293,0.08
635,0.0007680491551459293,0.08
1636,0.0007680491551459293,0.08
2056,0.0007680491551459293,0.08
2095,0.0007680491551459293,0.08
721,0.0007680491551459293,0.08
916,0.0007680491551459293,0.08
1278,0.0007680491551459293,0.08
1320,0.0007680491551459293,0.08
1165,0.0007680491551459293,0.08
1253,0.0007680491551459293,0.08
1351,0.0007680491551459293,0.08
1974,0.0007680491551459293,0.08
2048,0.0007680491551459293,0.08
2212,0.0007680491551459293,0.08
1569,0.0007680491551459293,0.08
1198,0.0007680491551459293,0.08
928,0.0007680491551459293,0.08
1329,0.0007680491551459293,0.08
2279,0.0007680491551459293,0.08
2639,0.0007680491551459293,0.08
620,0.0007680491551459293,0.08
1365,0.0007680491551459293,0.08
685,0.0007680491551459293,0.08
736,0.0007680491551459293,0.08
925,0.0007680491551459293,0.08
871,0.0007680491551459293,0.08
1124,0.0007680491551459293,0.08
1453,0.0007680491551459293,0.08
1106,0.0007680491551459293,0.08
959,0.0007680491551459293,0.08
894,0.0007680491551459293,0.08
827,0.0007680491551459293,0.08
2246,0.0007680491551459293,0.08
1438,0.0007680491551459293,0.08
1011,0.0007680491551459293,0.08
1210,0.0007680491551459293,0.08
1793,0.0007680491551459293,0.08
762,0.0007680491551459293,0.08
1516,0.0007680491551459293,0.08
2889,0.0007680491551459293,0.08
1410,0.0007680491551459293,0.08
1703,0.0007680491551459293,0.08
1241,0.0007680491551459293,0.08
1181,0.0007680491551459293,0.08
578,0.0007680491551459293,0.08
1038,0.0007680491551459293,0.08
1828,0.0007680491551459293,0.08
1973,0.0007680491551459293,0.08
2037,0.0007680491551459293,0.08
1965,0.0007680491551459293,0.08
751,0.0007680491551459293,0.08
1173,0.0007680491551459293,0.08
777,0.0007680491551459293,0.08
1835,0.0007680491551459293,0.08
728,0.0007680491551459293,0.08
1844,0.0007680491551459293,0.08
716,0.0007680491551459293,0.08
977,0.0007680491551459293,0.08
1612,0.0007680491551459293,0.08
1836,0.0007680491551459293,0.08
1243,0.0007680491551459293,0.08
749,0.0007680491551459293,0.08
2288,0.0007680491551459293,0.08
1344,0.0007680491551459293,0.08
1714,0.0007680491551459293,0.08
1015,0.0007680491551459293,0.08
605,0.0007680491551459293,0.08
945,0.0007680491551459293,0.08
878,0.0007680491551459293,0.08
941,0.0007680491551459293,0.08
1003,0.0007680491551459293,0.08
1379,0.0007680491551459293,0.08
1323,0.0007680491551459293,0.08
1279,0.0007680491551459293,0.08
922,0.0007680491551459293,0.08
1319,0.0007680491551459293,0.08
1195,0.0007680491551459293,0.08
2201,0.0007680491551459293,0.08
1543,0.0007680491551459293,0.08
1380,0.0007680491551459293,0.08
1798,0.0007680491551459293,0.08
1418,0.0007680491551459293,0.08
1401,0.0007680491551459293,0.08
1420,0.0007680491551459293,0.08
1082,0.0007680491551459293,0.08
2530,0.0007680491551459293,0.08
674,0.0007680491551459293,0.08
866,0.0007680491551459293,0.08
1084,0.0007680491551459293,0.08
645,0.0007680491551459293,0.08
843,0.0007680491551459293,0.08
982,0.0007680491551459293,0.08
1651,0.0007680491551459293,0.08
554,0.0007680491551459293,0.08
