lista_hombres,frecuencia,frecuencia_%
516,0.0038402457757296467,0.38
876,0.0033282130056323605,0.33
619,0.0028161802355350742,0.28
496,0.002560163850486431,0.26
506,0.002560163850486431,0.26
593,0.002304147465437788,0.23
579,0.002304147465437788,0.23
473,0.002304147465437788,0.23
418,0.002304147465437788,0.23
444,0.002304147465437788,0.23
294,0.002304147465437788,0.23
915,0.002048131080389145,0.2
558,0.002048131080389145,0.2
549,0.002048131080389145,0.2
590,0.002048131080389145,0.2
760,0.002048131080389145,0.2
789,0.002048131080389145,0.2
352,0.002048131080389145,0.2
763,0.002048131080389145,0.2
559,0.002048131080389145,0.2
397,0.002048131080389145,0.2
447,0.002048131080389145,0.2
410,0.002048131080389145,0.2
435,0.002048131080389145,0.2
414,0.002048131080389145,0.2
421,0.002048131080389145,0.2
483,0.002048131080389145,0.2
451,0.002048131080389145,0.2
392,0.002048131080389145,0.2
458,0.002048131080389145,0.2
409,0.002048131080389145,0.2
645,0.002048131080389145,0.2
653,0.002048131080389145,0.2
629,0.002048131080389145,0.2
328,0.002048131080389145,0.2
508,0.002048131080389145,0.2
732,0.002048131080389145,0.2
476,0.002048131080389145,0.2
460,0.002048131080389145,0.2
638,0.002048131080389145,0.2
375,0.002048131080389145,0.2
733,0.0017921146953405018,0.18
539,0.0017921146953405018,0.18
358,0.0017921146953405018,0.18
724,0.0017921146953405018,0.18
520,0.0017921146953405018,0.18
548,0.0017921146953405018,0.18
775,0.0017921146953405018,0.18
607,0.0017921146953405018,0.18
439,0.0017921146953405018,0.18
480,0.0017921146953405018,0.18
682,0.0017921146953405018,0.18
536,0.0017921146953405018,0.18
529,0.0017921146953405018,0.18
580,0.0017921146953405018,0.18
540,0.0017921146953405018,0.18
486,0.0017921146953405018,0.18
505,0.0017921146953405018,0.18
344,0.0017921146953405018,0.18
718,0.0017921146953405018,0.18
348,0.0017921146953405018,0.18
299,0.0017921146953405018,0.18
446,0.0017921146953405018,0.18
557,0.0017921146953405018,0.18
588,0.0017921146953405018,0.18
860,0.0017921146953405018,0.18
572,0.0017921146953405018,0.18
357,0.0017921146953405018,0.18
547,0.0017921146953405018,0.18
535,0.0017921146953405018,0.18
394,0.0017921146953405018,0.18
441,0.0017921146953405018,0.18
415,0.0017921146953405018,0.18
656,0.0015360983102918587,0.15
553,0.0015360983102918587,0.15
345,0.0015360983102918587,0.15
407,0.0015360983102918587,0.15
570,0.0015360983102918587,0.15
577,0.0015360983102918587,0.15
386,0.0015360983102918587,0.15
179,0.0015360983102918587,0.15
949,0.0015360983102918587,0.15
239,0.0015360983102918587,0.15
497,0.0015360983102918587,0.15
507,0.0015360983102918587,0.15
560,0.0015360983102918587,0.15
396,0.0015360983102918587,0.15
566,0.0015360983102918587,0.15
583,0.0015360983102918587,0.15
453,0.0015360983102918587,0.15
555,0.0015360983102918587,0.15
400,0.0015360983102918587,0.15
609,0.0015360983102918587,0.15
668,0.0015360983102918587,0.15
664,0.0015360983102918587,0.15
677,0.0015360983102918587,0.15
604,0.0015360983102918587,0.15
584,0.0015360983102918587,0.15
422,0.0015360983102918587,0.15
331,0.0015360983102918587,0.15
518,0.0015360983102918587,0.15
269,0.0015360983102918587,0.15
644,0.0015360983102918587,0.15
569,0.0015360983102918587,0.15
667,0.0015360983102918587,0.15
758,0.0015360983102918587,0.15
420,0.0015360983102918587,0.15
623,0.0015360983102918587,0.15
884,0.0015360983102918587,0.15
427,0.0015360983102918587,0.15
521,0.0015360983102918587,0.15
517,0.0015360983102918587,0.15
495,0.0015360983102918587,0.15
503,0.0015360983102918587,0.15
594,0.0015360983102918587,0.15
877,0.0015360983102918587,0.15
442,0.0015360983102918587,0.15
270,0.0015360983102918587,0.15
448,0.0015360983102918587,0.15
587,0.0015360983102918587,0.15
658,0.0015360983102918587,0.15
735,0.0015360983102918587,0.15
641,0.0015360983102918587,0.15
498,0.0015360983102918587,0.15
434,0.0015360983102918587,0.15
413,0.0015360983102918587,0.15
958,0.0015360983102918587,0.15
408,0.0015360983102918587,0.15
325,0.0015360983102918587,0.15
82,0.0015360983102918587,0.15
457,0.0015360983102918587,0.15
369,0.0012800819252432156,0.13
395,0.0012800819252432156,0.13
533,0.0012800819252432156,0.13
721,0.0012800819252432156,0.13
431,0.0012800819252432156,0.13
296,0.0012800819252432156,0.13
489,0.0012800819252432156,0.13
729,0.0012800819252432156,0.13
585,0.0012800819252432156,0.13
803,0.0012800819252432156,0.13
890,0.0012800819252432156,0.13
810,0.0012800819252432156,0.13
809,0.0012800819252432156,0.13
652,0.0012800819252432156,0.13
510,0.0012800819252432156,0.13
576,0.0012800819252432156,0.13
363,0.0012800819252432156,0.13
226,0.0012800819252432156,0.13
689,0.0012800819252432156,0.13
643,0.0012800819252432156,0.13
522,0.0012800819252432156,0.13
527,0.0012800819252432156,0.13
307,0.0012800819252432156,0.13
712,0.0012800819252432156,0.13
743,0.0012800819252432156,0.13
717,0.0012800819252432156,0.13
872,0.0012800819252432156,0.13
673,0.0012800819252432156,0.13
1089,0.0012800819252432156,0.13
844,0.0012800819252432156,0.13
1079,0.0012800819252432156,0.13
388,0.0012800819252432156,0.13
962,0.0012800819252432156,0.13
1026,0.0012800819252432156,0.13
339,0.0012800819252432156,0.13
404,0.0012800819252432156,0.13
